Folder Temperature Condition Column Mean "Std Dev"
G5-G5 325K/Energy "dist > 12" lig-wat-final 27304.829493023255 2391.1627157744156
G5-G5 325K/Energy "dist > 12" pni-wat-final 31038.626990697678 922.5543557185301
G5-G5 330K/Energy "dist < 12" pni -96.49447285067873 8.626929839877494
G5-G5 330K/Energy "dist < 12" lig -16.68011990950226 7.779464656509119
G5-G5 330K/Energy "dist < 12" wat -207943.909421267 207.4388496130116
G5-G5 330K/Energy "dist < 12" both-final -93.42720497737554 17.214366485230837
G5-G5 330K/Energy "dist < 12" lig-wat-final 27979.48130859727 2753.0008809870787
G5-G5 330K/Energy "dist < 12" pni-wat-final 31059.722466515832 1049.305257068073
G5-G5 330K/Energy "dist > 12" pni -82.69364078947368 8.033064547683367
G5-G5 330K/Energy "dist > 12" lig -4.583860526315789 5.827041965825175
G5-G5 330K/Energy "dist > 12" wat -207911.45028026312 211.85228523229412
G5-G5 330K/Energy "dist > 12" both-final -52.37024473684212 23.410865986946575
G5-G5 330K/Energy "dist > 12" lig-wat-final 26993.69802236841 2682.136500469449
G5-G5 330K/Energy "dist > 12" pni-wat-final 30750.841969736844 986.1040130964491
L5-L5 290K/Energy "dist < 12" pni -86.97144976525827 7.4351627975516905
L5-L5 290K/Energy "dist < 12" lig -33.63654647887327 8.241201825374496
L5-L5 290K/Energy "dist < 12" wat -215319.41896291074 184.72662012144076
L5-L5 290K/Energy "dist < 12" both-final -96.98010610328636 19.57457201080376
L5-L5 290K/Energy "dist < 12" lig-wat-final 25319.65633380281 2573.934967059211
L5-L5 290K/Energy "dist < 12" pni-wat-final 31138.63589577462 882.9665371379587
L5-L5 290K/Energy "dist > 12" pni -81.39997023809522 7.701815786698362
L5-L5 290K/Energy "dist > 12" lig -15.46735238095238 6.654776013836349
L5-L5 290K/Energy "dist > 12" wat -215213.8849380953 211.290580832234
L5-L5 290K/Energy "dist > 12" both-final -51.02648095238094 14.053577750017162
L5-L5 290K/Energy "dist > 12" lig-wat-final 24842.373267857143 2081.357943377882
L5-L5 290K/Energy "dist > 12" pni-wat-final 30907.34409047621 966.6479262871253
L5-L5 295K/Energy "dist < 12" pni -90.28954308943088 6.611288595191654
L5-L5 295K/Energy "dist < 12" lig -36.1051512195122 7.669830606839421
L5-L5 295K/Energy "dist < 12" wat -214225.417651626 185.29764502251004
L5-L5 295K/Energy "dist < 12" both-final -86.45947235772354 17.87695320441104
L5-L5 295K/Energy "dist < 12" lig-wat-final 25664.899029268283 2396.9548222958883
L5-L5 295K/Energy "dist < 12" pni-wat-final 31038.59591422765 968.6104469110136
L5-L5 295K/Energy "dist > 12" pni -81.25186274509804 7.008060043234813
L5-L5 295K/Energy "dist > 12" lig -15.062935294117645 7.212613724436475
L5-L5 295K/Energy "dist > 12" wat -214171.67632549017 191.33903956049136
L5-L5 295K/Energy "dist > 12" both-final -52.92498431372548 15.554227287581627
L5-L5 295K/Energy "dist > 12" lig-wat-final 25302.952239215698 1993.7174112930293
L5-L5 295K/Energy "dist > 12" pni-wat-final 30916.14569215687 832.1903123468978
L5-L5 300K/Energy "dist < 12" pni -88.64493874999995 6.861118296314642
L5-L5 300K/Energy "dist < 12" lig -37.57139416666664 6.726874086909712
L5-L5 300K/Energy "dist < 12" wat -213185.22518625 192.455116561941
