Folder Temperature Condition Column Mean "Std Dev"
C3 305K/Energy "dist < 12" lig -27.864863333333336 9.833036248332608
C3 305K/Energy "dist < 12" wat -213749.51279 199.2483314047575
C3 305K/Energy "dist < 12" both-final -59.51591 16.326734423729686
C3 305K/Energy "dist < 12" lig-wat-final 83226.77287333335 4122.182829345604
C3 305K/Energy "dist < 12" pni-wat-final 31133.01537 966.9005659256153
C3 305K/Energy "dist > 12" pni -82.45823745318356 8.624949457444904
C3 305K/Energy "dist > 12" lig -12.140060674157294 4.216784772107148
C3 305K/Energy "dist > 12" wat -213662.3307599253 202.46836922189192
C3 305K/Energy "dist > 12" both-final -48.126918726591754 21.05932923563059
C3 305K/Energy "dist > 12" lig-wat-final 82625.98974157308 3527.0739356241997
C3 305K/Energy "dist > 12" pni-wat-final 30983.191192883878 996.724144354513
C3 310K/Energy "dist < 12" pni -94.75868837209303 10.443575067974116
C3 310K/Energy "dist < 12" lig -28.254971317829458 9.210900368145628
C3 310K/Energy "dist < 12" wat -212589.20320930245 189.35262805972897
C3 310K/Energy "dist < 12" both-final -56.43573720930231 22.383619507811503
C3 310K/Energy "dist < 12" lig-wat-final 82283.17290387598 3527.6782335182274
C3 310K/Energy "dist < 12" pni-wat-final 31076.238758139523 1017.1811163870035
C3 310K/Energy "dist > 12" pni -82.64102797619047 8.844924082876425
C3 310K/Energy "dist > 12" lig -12.590926190476182 5.170382939526422
C3 310K/Energy "dist > 12" wat -212568.66725952373 212.16695429980504
C3 310K/Energy "dist > 12" both-final -42.32409523809525 19.065576326080624
C3 310K/Energy "dist > 12" lig-wat-final 82561.98260119051 4094.9321119929987
C3 310K/Energy "dist > 12" pni-wat-final 30974.86445238095 1063.4271813502978
C3 315K/Energy "dist < 12" pni -93.84292711864407 9.382446906253186
C3 315K/Energy "dist < 12" lig -29.895679661016956 10.462624340390404
C3 315K/Energy "dist < 12" wat -211540.36969322036 190.33248095313638
C3 315K/Energy "dist < 12" both-final -67.70234322033899 24.644870664046966
C3 315K/Energy "dist < 12" lig-wat-final 82470.92664491523 3717.215013354329
C3 315K/Energy "dist < 12" pni-wat-final 30858.836369491528 1022.800959082508
C3 315K/Energy "dist > 12" pni -85.39524301675979 11.125657923729086
